cf,70.0
1.365000000000000036e+01,-1.463649768869156736e-02,0.000000000000000000e+00
1.369999999999999929e+01,-2.204900308222799282e-02,0.000000000000000000e+00
1.375000000000000000e+01,5.254132092112501398e-06,0.000000000000000000e+00
1.380000000000000071e+01,1.894673606140274968e-02,0.000000000000000000e+00
1.384999999999999964e+01,1.079128248819032423e-02,0.000000000000000000e+00
1.390000000000000036e+01,-9.917576793883182279e-03,0.000000000000000000e+00
1.394999999999999929e+01,-1.466621112878496724e-02,0.000000000000000000e+00
1.400000000000000000e+01,4.367517664385210069e-06,0.000000000000000000e+00
1.405000000000000071e+01,1.208743964471786086e-02,0.000000000000000000e+00
1.409999999999999964e+01,6.721226756123952796e-03,0.000000000000000000e+00
1.415000000000000036e+01,-6.018306834455999267e-03,0.000000000000000000e+00
1.419999999999999929e+01,-8.643641269660575638e-03,0.000000000000000000e+00
1.425000000000000000e+01,3.373360456598886902e-06,0.000000000000000000e+00
1.430000000000000071e+01,6.651863234741127624e-03,0.000000000000000000e+00
1.434999999999999964e+01,3.549526705445871753e-03,0.000000000000000000e+00
1.440000000000000036e+01,-3.034700777746153488e-03,0.000000000000000000e+00
1.444999999999999929e+01,-4.129589162549747450e-03,0.000000000000000000e+00
1.450000000000000000e+01,2.296139918881354814e-06,0.000000000000000000e+00
1.455000000000000071e+01,2.773848762330043908e-03,0.000000000000000000e+00
1.459999999999999964e+01,1.354280117672925681e-03,0.000000000000000000e+00
1.465000000000000036e+01,-1.040224906890619425e-03,0.000000000000000000e+00
1.469999999999999929e+01,-1.235205751609645035e-03,0.000000000000000000e+00
1.475000000000000000e+01,1.162380795897750933e-06,0.000000000000000000e+00
1.480000000000000071e+01,5.488858141874879788e-04,0.000000000000000000e+00
1.484999999999999964e+01,1.895412494017091848e-04,0.000000000000000000e+00
1.490000000000000036e+01,-8.398983711576736880e-05,0.000000000000000000e+00
1.494999999999999929e+01,-3.176036232542157217e-05,0.000000000000000000e+00
1.500000000000000000e+01,8.753556114281160067e-19,0.000000000000000000e+00
1.505000000000000071e+01,3.176036232542493997e-05,0.000000000000000000e+00
1.509999999999999964e+01,8.398983711577047233e-05,0.000000000000000000e+00
1.515000000000000036e+01,-1.895412494017098624e-04,0.000000000000000000e+00
1.519999999999999929e+01,-5.488858141874954598e-04,0.000000000000000000e+00
1.525000000000000000e+01,-1.162380795922895318e-06,0.000000000000000000e+00
1.530000000000000071e+01,1.235205751609654576e-03,0.000000000000000000e+00
1.534999999999999964e+01,1.040224906890624846e-03,0.000000000000000000e+00
1.540000000000000036e+01,-1.354280117672925030e-03,0.000000000000000000e+00
1.544999999999999929e+01,-2.773848762330031765e-03,0.000000000000000000e+00
1.550000000000000000e+01,-2.296139918909793945e-06,0.000000000000000000e+00
1.555000000000000071e+01,4.129589162549733572e-03,0.000000000000000000e+00
1.559999999999999964e+01,3.034700777746218974e-03,0.000000000000000000e+00
1.565000000000000036e+01,-3.549526705445851804e-03,0.000000000000000000e+00
1.569999999999999929e+01,-6.651863234741125890e-03,0.000000000000000000e+00
1.575000000000000000e+01,-3.373360456669660316e-06,0.000000000000000000e+00
1.580000000000000071e+01,8.643641269660502779e-03,0.000000000000000000e+00
1.584999999999999964e+01,6.018306834456033962e-03,0.000000000000000000e+00
1.590000000000000036e+01,-6.721226756123850447e-03,0.000000000000000000e+00
1.594999999999999929e+01,-1.208743964471784005e-02,0.000000000000000000e+00
1.600000000000000000e+01,-4.367517664442163718e-06,0.000000000000000000e+00
1.605000000000000071e+01,1.466621112878492388e-02,0.000000000000000000e+00
1.610000000000000142e+01,9.917576793883295036e-03,0.000000000000000000e+00
1.614999999999999858e+01,-1.079128248819016984e-02,0.000000000000000000e+00
1.619999999999999929e+01,-1.894673606140269070e-02,0.000000000000000000e+00
1.625000000000000000e+01,-5.254132092354038772e-06,0.000000000000000000e+00
1.630000000000000071e+01,2.204900308222782629e-02,0.000000000000000000e+00
1.635000000000000142e+01,1.463649768869166277e-02,0.000000000000000000e+00
1.639999999999999858e+01,-1.565947562178101465e-02,0.000000000000000000e+00
1.644999999999999929e+01,-2.706085384231747548e-02,0.000000000000000000e+00
1.650000000000000000e+01,-6.011372350777422532e-06,0.000000000000000000e+00
1.655000000000000071e+01,3.061022829001382173e-02,0.000000000000000000e+00
1.660000000000000142e+01,2.005887402525064964e-02,0.000000000000000000e+00
1.664999999999999858e+01,-2.120593508534020233e-02,0.000000000000000000e+00
1.669999999999999929e+01,-3.622999647848243465e-02,0.000000000000000000e+00
1.675000000000000000e+01,-6.620592670965208937e-06,0.000000000000000000e+00
1.680000000000000071e+01,4.013908097444952167e-02,0.000000000000000000e+00
1.685000000000000142e+01,2.605118890231819528e-02,0.000000000000000000e+00
1.689999999999999858e+01,-2.729408863923200868e-02,0.000000000000000000e+00
1.694999999999999929e+01,-4.622838924755628964e-02,0.000000000000000000e+00
1.700000000000000000e+01,-7.066792027727020051e-06,0.000000000000000000e+00
1.705000000000000071e+01,5.040092915799576634e-02,0.000000000000000000e+00
1.710000000000000142e+01,3.246589164026903590e-02,0.000000000000000000e+00
1.714999999999999858e+01,-3.377402573753537918e-02,0.000000000000000000e+00
1.719999999999999929e+01,-5.680983853680086904e-02,0.000000000000000000e+00
1.725000000000000000e+01,-7.338983510950675962e-06,0.000000000000000000e+00
1.730000000000000071e+01,6.114309208125134898e-02,0.000000000000000000e+00
1.735000000000000142e+01,3.914503096851638941e-02,0.000000000000000000e+00
1.739999999999999858e+01,-4.048618882321324691e-02,0.000000000000000000e+00
1.744999999999999929e+01,-6.771379394689781839e-02,0.000000000000000000e+00
1.750000000000000000e+01,-7.430464863792049885e-06,0.000000000000000000e+00
1.755000000000000071e+01,7.210106204185127987e-02,0.000000000000000000e+00
1.760000000000000142e+01,4.592414431000538949e-02,0.000000000000000000e+00
1.764999999999999858e+01,-4.726530216470253148e-02,0.000000000000000000e+00
1.769999999999999929e+01,-7.867176390749787418e-02,0.000000000000000000e+00
1.775000000000000000e+01,-7.338983510726759414e-06,0.000000000000000000e+00
1.780000000000000071e+01,8.300501745194878433e-02,0.000000000000000000e+00
1.785000000000000142e+01,5.263630739568333355e-02,0.000000000000000000e+00
1.789999999999999858e+01,-5.394444149294992663e-02,0.000000000000000000e+00
1.794999999999999929e+01,-8.941392683075405357e-02,0.000000000000000000e+00
1.800000000000000000e+01,-7.066792028134667363e-06,0.000000000000000000e+00
1.805000000000000071e+01,9.358646674119282249e-02,0.000000000000000000e+00
1.810000000000000142e+01,5.911624449398742570e-02,0.000000000000000000e+00
